[2025-10-04 21:28:19,315] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:20,017] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 3 results, 5ms
[2025-10-04 21:28:20,469] 4ab6ca1e7391/INFO/test_locust: Semantic search: 10 results, 5ms
[2025-10-04 21:28:20,845] 4ab6ca1e7391/INFO/test_locust: Semantic search: 10 results, 4ms
[2025-10-04 21:28:20,845] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:20,845] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:20,846] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 3ms
[2025-10-04 21:28:21,311] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 3ms
[2025-10-04 21:28:21,350] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:21,374] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 3ms
[2025-10-04 21:28:21,411] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:21,613] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 3 results, 3ms
[2025-10-04 21:28:21,798] 4ab6ca1e7391/INFO/test_locust: Semantic search: 10 results, 3ms
[2025-10-04 21:28:21,879] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:21,893] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 3 results, 2ms
[2025-10-04 21:28:21,947] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:22,087] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 3 results, 2ms
[2025-10-04 21:28:22,204] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:22,218] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 3 results, 3ms
[2025-10-04 21:28:22,434] 4ab6ca1e7391/INFO/test_locust: Semantic search: 15 results, 6ms
[2025-10-04 21:28:22,475] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 5 results, 4ms
[2025-10-04 21:28:22,564] 4ab6ca1e7391/INFO/test_locust: Semantic search: 5 results, 9ms
[2025-10-04 21:28:22,610] 4ab6ca1e7391/INFO/test_locust: Hybrid search: 3 results, 3ms
[2025-10-04 21:28:22,703] 4ab6ca1e7391/INFO/test_locust: Semantic search: 15 results, 4ms
[2025-10-04 21:28:22,781] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:22,803] 4ab6ca1e7391/INFO/test_locust: Semantic search: 10 results, 4ms
[2025-10-04 21:28:22,858] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:22,898] 4ab6ca1e7391/INFO/test_locust: Semantic search: 0 results, 2ms
[2025-10-04 21:28:23,001] 4ab6ca1e7391/INFO/locust.main: writing html report to file: reports/performance-baseline.html
[2025-10-04 21:28:23,012] 4ab6ca1e7391/INFO/locust.main: Shutting down (exit code 0)
[2025-10-04 21:28:23,598] 4ab6ca1e7391/INFO/test_locust: ============================================================
[2025-10-04 21:28:23,598] 4ab6ca1e7391/INFO/test_locust: BMS AGENT PERFORMANCE BASELINE REPORT
[2025-10-04 21:28:23,599] 4ab6ca1e7391/INFO/test_locust: ============================================================
[2025-10-04 21:28:23,599] 4ab6ca1e7391/INFO/test_locust: Total Requests: 218
[2025-10-04 21:28:23,602] 4ab6ca1e7391/INFO/test_locust: Error Rate: 0.00%
[2025-10-04 21:28:23,602] 4ab6ca1e7391/INFO/test_locust: 
[2025-10-04 21:28:23,603] 4ab6ca1e7391/INFO/test_locust: Document Upload:
[2025-10-04 21:28:23,603] 4ab6ca1e7391/INFO/test_locust:   Count: 14
[2025-10-04 21:28:23,603] 4ab6ca1e7391/INFO/test_locust:   Average: 5507.58ms
[2025-10-04 21:28:23,603] 4ab6ca1e7391/INFO/test_locust:   P50: 7837.34ms
[2025-10-04 21:28:23,604] 4ab6ca1e7391/INFO/test_locust:   P95: 15744.33ms
[2025-10-04 21:28:23,604] 4ab6ca1e7391/INFO/test_locust:   P99: 15744.33ms
[2025-10-04 21:28:23,605] 4ab6ca1e7391/INFO/test_locust:   Min: 192.48ms
[2025-10-04 21:28:23,605] 4ab6ca1e7391/INFO/test_locust:   Max: 15744.33ms
[2025-10-04 21:28:23,605] 4ab6ca1e7391/INFO/test_locust: 
[2025-10-04 21:28:23,606] 4ab6ca1e7391/INFO/test_locust: Semantic Search:
[2025-10-04 21:28:23,606] 4ab6ca1e7391/INFO/test_locust:   Count: 131
[2025-10-04 21:28:23,606] 4ab6ca1e7391/INFO/test_locust:   Average: 4671.01ms
[2025-10-04 21:28:23,607] 4ab6ca1e7391/INFO/test_locust:   P50: 147.95ms
[2025-10-04 21:28:23,607] 4ab6ca1e7391/INFO/test_locust:   P95: 15446.03ms
[2025-10-04 21:28:23,607] 4ab6ca1e7391/INFO/test_locust:   P99: 16023.83ms
[2025-10-04 21:28:23,607] 4ab6ca1e7391/INFO/test_locust:   Min: 12.07ms
[2025-10-04 21:28:23,608] 4ab6ca1e7391/INFO/test_locust:   Max: 16024.85ms
[2025-10-04 21:28:23,608] 4ab6ca1e7391/INFO/test_locust: 
